year,ANZ_p25,CAM_p25,CAN_p25,CHI_p25,EEU_p25,FSU_p25,JPK_p25,LAM_p25,MAF_p25,MDE_p25,SAS_p25,SEA_p25,SIS_p25,SSA_p25,USA_p25,WEU_p25,World_p25,ANZ_p170,CAM_p170,CAN_p170,CHI_p170,EEU_p170,FSU_p170,JPK_p170,LAM_p170,MAF_p170,MDE_p170,SAS_p170,SEA_p170,SIS_p170,SSA_p170,USA_p170,WEU_p170,World_p170,ANZ_p500,CAM_p500,CAN_p500,CHI_p500,EEU_p500,FSU_p500,JPK_p500,LAM_p500,MAF_p500,MDE_p500,SAS_p500,SEA_p500,SIS_p500,SSA_p500,USA_p500,WEU_p500,World_p500,ANZ_p830,CAM_p830,CAN_p830,CHI_p830,EEU_p830,FSU_p830,JPK_p830,LAM_p830,MAF_p830,MDE_p830,SAS_p830,SEA_p830,SIS_p830,SSA_p830,USA_p830,WEU_p830,World_p830,ANZ_p975,CAM_p975,CAN_p975,CHI_p975,EEU_p975,FSU_p975,JPK_p975,LAM_p975,MAF_p975,MDE_p975,SAS_p975,SEA_p975,SIS_p975,SSA_p975,USA_p975,WEU_p975,World_p975
2010,-8020533203.52,-14166878238.9306,-22192958843.6854,-304202575680.853,-100951752550.4,-113045045316.442,-172983817752.381,-30902967753.8201,-19520731858.5913,-46990162216.96,-138215953687.917,-61318531184.64,-12778304411.7672,-30279007882.24,-314545892556.8,-324385752883.2,-527270235573.212,-2016560426.048,-7462128093.568,-11371682404.608,-127481840497.459,-29702989464.576,-52181128368.128,-59488356432.1863,-19849815770.7517,-9116761962.24,-17477988283.7333,-45348601434.112,-27751982901.76,-3778905052.928,-9984381718.016,-104424545816.448,-80579025253.5873,-206538742598.208,1894949828.48,-2195103119.36,-1037588984.88891,-27911976673.2801,8247775279.35991,1969090765.43991,1902448909.4598,-5987617731.84006,-3156086693.12,-1308819858.56008,23075195146.2399,-1680927852.80001,-737679390.601543,689790343.519974,43935321775.0537,16833207848.6348,90626986932.08,6054846154.78652,4067579072.25602,9340267406.08001,80687866331.1362,43774330683.3921,58648023622.9757,84971198457.8562,11123851154.0151,3168971236.864,17144045090.6751,128948818034.689,22950472135.1112,2030928148.22401,12825986926.848,182840483293.87,146281754672.436,405834841937.85,10252003682.9869,12318597095.6195,19010865628.1601,206022854883.556,99998645468.1615,122644300349.443,203364684349.442,29696886656.0017,7922183584.00068,45952534934.3526,247778527447.052,60534381639.6827,5353976615.28051,26967674350.9334,401997433159.681,277176176773.124,652256560187.293
2011,-8940540648.96,-21614833482.24,-25535600422.4,-306599523683.373,-131840963502.08,-165405665679.36,-183159556855.371,-26256525358.0623,-18459992142.08,-55872090491.0643,-257293342760.96,-89865813616.64,-11793572894.72,-27099453834.24,-549053711253.504,-341841617806.222,-734135815890.133,-1873227919.616,-7583726967.9054,-14883279112.192,-128065014837.096,-55756442828.8,-90214519160.832,-83570334718.4206,-13210719352.2337,-10292774588.501,-16440550317.568,-71813000470.5281,-43231290306.56,-5843085180.07196,-8375340023.296,-244326564628.859,-113125118745.194,-375871752745.625,2656588051.2,-1042833833.28,-1391972118.72,5742747493.67568,4040639518.71999,-14205735177.4815,-17276163201.7069,1223876092.79997,408064332.799988,8125367640.04226,24875232245.76,-9169708736,-1160575794.49135,3118272278.39996,30477454899.1991,26792552352.4264,78553518470.8795,7036513579.07303,8883142949.12012,9193211348.99204,180252651533.006,55840907806.2733,69762705341.3871,83354244281.2959,18599154964.9279,10076632985.6001,35208198654.6347,132029488985.43,36112761125.5473,2939565689.35645,20028733256.7856,267516874317.826,114180456341.504,490148490353.834,11870105822.7201,19909830241.5246,25014337411.9865,311728266977.288,89673944576.0004,157319746673.194,224331238440.963,44015736051.8102,20835670671.8203,66040671573.3356,292856048948.838,96268849920.0021,8379061459.20002,36571870487.0335,424848839674.632,314237986652.16,887486628586.222
2012,-5804780204.16,-17171576164.2328,-28866024188.16,-282478598631.619,-91522062108.4444,-168379489850.464,-167567172198.4,-30166189708.9438,-16112064570.2434,-52740913080.32,-251103044874.24,-90167413515.5156,-14168256028.2982,-41748979858.2857,-401653870570.328,-214321110699.848,-717122134002.337,-2681441963.69769,-6671964525.71428,-12944813257.216,-136189382494.921,-46175934386.176,-69151867428.864,-86201243342.4254,-13971152882.5748,-6604875436.94807,-17522438043.7672,-112141058973.696,-37749198211.072,-5630743868.95238,-12809180074.2533,-158045890883.258,-94316283105.2801,-311611960829.831,2656548902.39999,848258319.359994,-353298330.240002,11249768895.1461,-3996661187.84001,4225733994.23993,17188299694.0799,1971657370.41269,127093877.199995,3472277869.71427,-35455434024.96,-3907733814.92045,-331340612.96001,5268532398.07999,51982458395.6401,26561939524.442,120807585830.079,7000030483.86563,7463942900.65067,12965609341.4334,174792051430.741,63773514207.2323,56489080188.3431,112824413812.736,19186379072.0002,5495337821.18413,31743584392.1922,61168385887.6286,28614341413.8884,3178122472.576,21509556388.6592,276679243071.489,161009564773.611,475553411753.383,12170365474.9869,14841238704.0848,38031737740.9444,289709309911.044,144434470379.521,134031073790.23,196542027158.359,41591985297.9212,16845168637.4405,65288608194.5622,257742920335.364,83274487222.8602,8124771222.40038,35940618557.4401,541463298186.099,358465074708.483,897931753943.31
2013,-10702803260.16,-15381022498.56,-33089531535.4653,-292825778035.132,-104224049888.847,-177828475480.185,-233813232642.632,-43172363906.56,-15648661125.7528,-44445018265.6,-263408837089.28,-137280028487.68,-14104739330.8764,-31712255505.92,-409934682644.48,-266310060814.382,-726905936771.017,-3728930161.28,-7886334565.33702,-13534638521.856,-96802826532.5714,-55379774629.7905,-88058884009.6576,-76914136643.7249,-18364202576.5393,-6516886344.448,-13019502923.581,-110444445501.03,-46398686435.328,-4911732038.67969,-9595157496.832,-100895075887.125,-106489524978.769,-407861631299.233,1925201217.01587,-2502181632.00005,-2090490221.90232,8275110110.13734,-2005227060.26303,-20832763842.56,-15038012152.761,489181088.533302,2887272125.62962,3493221169.15195,-6868009732.06355,-9801382224.94606,-849880168.800007,7436535480.31998,100087804099.047,1577300897.07825,86114582055.4185,7321735618.73067,5594164366.16535,15213881438.2731,147546038375.766,30409598429.1841,99372824452.4708,49269211489.2532,15915506205.2574,9768246811.13604,32863792128.0001,104992645144.576,33246180314.0745,2458031861.02859,22905134874.624,316593578508.289,135093626388.481,519994803878.093,13015804123.6818,17371476271.4087,27831186358.8575,255802507980.8,73504465186.1341,175417667406.51,101281450506.264,32338410666.6687,15603909198.8481,104308961249.29,224516171069.441,76930675281.9203,25589712243.2013,42536042383.3615,504704414151.165,251834596126.731,908937422858.529
2014,-6686803209.21337,-18792579520,-24249498973.44,-302578473620.995,-131450932958.437,-195492230383.548,-154305493715.627,-21204350694.4,-18275598308.6933,-43263846707.2,-198646474025.989,-94474319063.04,-13445677939.2,-22260052564.992,-343935910369.882,-360582054992.539,-808371783359.004,-1946223956.928,-9851980946.09769,-13638458318.336,-164843056412.169,-68050626550.9888,-110042102579.2,-86981247897.6,-5597769466.624,-8577049901.056,-18783826043.3921,-58481875249.5746,-20339023751.7206,-4439929726.976,-9804604827.136,-84434193267.6315,-127636014761.574,-297902079393.236,2804937569.52381,-4008305750.80971,2028825994.85861,-30393712455.6803,-11254598720.0001,-22977726190.9334,-3581608683.5991,8594052430.83732,261822024.678661,9944148920.32,44108891768.8083,5297368746.66665,148590698.966283,3330322253.82399,101368959647.744,-16164893747.2,49757159043.8399,7787042561.28001,6961783688.53336,14614204987.904,86426378252.2898,21375172325.2813,44328764665.856,77563205889.8972,26529705772.6985,8263115940.9778,37895448868.5715,175734131509.368,64201545775.1048,4453015204.86406,19830110017.287,248454638796.8,81445640445.9523,513998815714.751,12100005081.6001,15752270757.1213,29855009027.8402,284823667056.661,69481955707.2662,135584970654.482,176948461998.103,73338752604.1662,18853014676.9958,113051047545.907,324390628556.807,144152669655.045,16685433711.3617,46644105752.3829,474576142883.541,175618642657.284,946480410223.99
2015,-6431988172.16,-18715004744.704,-30981749162.6667,-429241392721.92,-97030189803.6826,-139161043865.6,-146830634598.4,-31633658858.6667,-23882258178.6574,-44217292185.6,-339599481978.88,-77946146111.6614,-10823533459.2,-28572638868.48,-350472923818.667,-216038922581.333,-692074622121.92,-3340178920.12584,-10233094572.8165,-11399364736.4064,-226033221537.792,-43973451780.096,-69880674925.9852,-74047682510.848,-12064062519.296,-9098765730.816,-16570312565.9326,-112847116581.775,-27311363141.632,-2410205289.37989,-10696057326.592,-148998795303.322,-71354476302.336,-250850561153.323,2403516458.51902,-566462182.96001,1183841513.31215,-59860761995.5135,248738329.919959,16274664322.56,-8933887628.80003,4046325494.61327,-818775010.986674,17160933355.52,56491707614.1362,20258061286.4,2450778931.2,9876668849.43912,59437939363.8399,22593425743.9152,153300365848.639,9384912440.32005,9352780132.35205,10510276216.037,91314222694.4027,37385861544.7712,89790892984.32,41668357939.2015,24140548310.016,9156894805.67467,53113569302.5285,258735666454.528,83449434841.088,7602752825.1598,32485900529.6538,256523937625.127,126351590986.788,646888346844.776,14525829738.6669,28195790837.7609,19799827223.0277,298896188518.943,98612874990.2339,226514261302.654,120631684242.29,62121383968.5103,19526231757.884,157492145704.971,607558988558.389,219465850251.52,17847745072.6403,71588203264.0011,418614203776.683,308690067750.837,924505297294.777
2016,-12347724049.1105,-21641783552,-27931045836.8,-335535498444.8,-119146244147.2,-179746214860.8,-269528130273.069,-27810508332.8,-27063361703.1568,-35805344845.6555,-311728301711.36,-105201332321.524,-13469543275.52,-35697312348.16,-258341518651.349,-486445000417.28,-599869018072.44,-4308841986.816,-6804455429.68889,-12401395688.4135,-196127204888.381,-61630236208.3328,-86997812158.464,-94756361897.7892,-10444806563.072,-8760517401.6,-5569369629.44,-96641302745.088,-41368280209.8344,-4584227558.912,-10074862390.272,-89449140379.648,-109327828379.238,-265722279263.904,2439975168,829867089.81333,-372478585.12,-14642358479.1021,1908461151.99992,14795067801.5997,-2488821620.48,12720788520.96,3808023783.61903,22414125690.8799,33630913868.7997,5110346997.75989,99676810.606739,11104517317.12,136382314887.191,-2763321819.42858,174707840356.729,9528628435.28539,12772490436.6396,12972328433.2587,130401955748.978,34210764260.7171,86720464836.1711,91663045401.6889,35558776793.0881,12619196238.29,63849120540.6722,239815377393.043,66486436231.1682,6008276350.97601,37080408297.472,345258988978.176,98059697307.6483,687454142578.972,16645559835.3267,28090958676.4808,28545168719.3633,309471956746.24,81133075732.483,190954730414.089,199805796413.457,82376784706.3708,22318896318.8484,194304813450.87,547459475865.632,129986448822.862,14992878357.7617,76230959577.832,583036649553.938,178024895528.963,1314289386613.7
2017,-7665759530.56,-18482187093.76,-22433990779.6854,-499028003884.751,-110014645524.135,-194329626593.28,-172567984721.92,-40087188916.9067,-13951711828.48,-38484518144,-196094938869.76,-78765284003.84,-15757330355.2,-29478414074.88,-328253519969.524,-249388941680.423,-801934911875.584,-1698681155.52,-8052697790.98413,-10597443652.608,-199053588480,-48086307830.2476,-74599010805.7246,-98096598337.8286,-12486128682.496,-3669959513.7024,-10993416530.3296,-35740076120.4483,-29530514810.88,-4721501766.22933,-8343489672.704,-94609990502.2228,-118869335810.048,-115029648420.267,5686255060.47998,270075263.999993,4407303888.896,-31624351088.6403,-4170119370.24002,-13536002445.312,-27157155072,5441850352.63999,3566259972.06348,16454668738.56,90078572011.5199,10411701170.0484,326611436.959986,10577477340.16,172830333979.089,-7212323873.28011,350209561146.399,10659014190.0623,11938573441.3289,17213423835.1361,97805234667.5219,31058268382.72,75045112688.64,58079467795.2355,22464618956.8,13978886037.0944,61811549434.3112,265702488440.832,45362993294.1491,5343539850.97152,33959759686.7048,529229102601.558,92018782595.4886,672215135326.457,17278078464.0001,23620251663.3605,26037516803.4136,204338019376.762,189708419010.56,194207055851.52,230206152727.045,51486676764.4457,24072377751.8933,184021401518.087,504844165222.412,124274440130.575,12892454176.0009,61637435352.5144,708052111939.126,230484782063.763,1215902419380.16
2018,-11477800332.8,-25740309408.3322,-29245109770.6298,-380242537840.64,-107678518729.08,-214190642380.8,-188756105267.2,-44017329094.0874,-14066391752.4656,-33118334286.8374,-189929740190.476,-99330878269.44,-15998760614.4,-42184525136.609,-345143142692.571,-243939826961.067,-696635874208,-3981246749.66349,-10566636503.1551,-13253567492.3344,-150055266770.944,-45857459696.4689,-65326898201.3124,-37583347785.728,-7744217388.28801,-1874900564.18202,176041188.058124,-45796053086.208,-35906961106.944,-3796330897.152,-9692412967.00953,-22647424377.856,-112677038563.328,-19932621824.782,2483717904,-936616606.40001,7658083477.57298,-9881040359.61971,-5966344528.64,26492865464.32,24107306885.12,8207870781.43999,9119159521.28,29141679079.1972,61929424998.3997,5259972820.47995,964895580.586662,11084613160.96,182410469290.962,21896011236.6932,388440264914.815,10497238854.163,10131691256.3201,19940617847.1936,127362200280.178,56513723844.2448,112642973360.128,83745156521.984,25463020285.952,18978211610.624,85431965297.3227,299928019854.222,45209656428.5443,5855756115.71201,31881656656.4196,407156922500.199,142191120870.466,1049960187668.93,17814127449.1691,27140984570.8808,32300216659.9681,300850815117.746,118720907339.855,249772157049.101,171145083166.724,45555962636.1932,27955640389.7587,222204124009.813,676760652349.443,121153782030.903,18117520780.8001,53667582018.5625,794901083313.494,307723165051.701,1517920739993.61
2019,-9465867425.21799,-37563956290.56,-29055444402.0485,-411039712032.247,-98063948390.4,-121921492520.27,-134486836736,-34736775114.24,-12550809448.96,-34595706219.52,-302069215395.84,-105784818985.989,-11655789691.2593,-42002185216,-345172117442.56,-292829363617.185,-589212643468.955,-2495332237.632,-8246563756.68483,-15798745238.272,-163559784226.816,-51614523189.326,-63731931209.728,-47917974890.496,-10865129541.9733,-1911862702.528,-7424444940.19048,-80130984589.312,-27468955937.8381,-4406645181.184,-4100962490.496,-100278938905.334,-119162402991.543,-114706711713.829,3036258543.74602,1084138520.15999,-1435241785.60001,-2791860054.81027,801373323.851807,16545292878.5608,30472463749.1199,6478250651.32577,6310463360.4429,26249008926.7199,15931866785.8918,15736902817.28,743628794.879995,14212758333.44,113461759674.92,11657996595.2,300456266827.293,8375574111.48806,13551070908.5461,13224289702.656,176701324583.822,41201224994.1336,97131347951.6161,110298643677.185,28053556762.463,15530835946.496,86956622340.0976,170228725268.197,65677227028.48,7965464040.44804,38372083720.6689,342485178760.754,127374658792.107,734135969106.305,17917912995.8401,28779345907.2016,25830507861.3333,380946898862.081,92532338232.8928,194720749547.521,251449522749.442,69741155532.8025,26933986452.48,200896013544.977,314668261376,138334731038.725,16456492733.441,74700947456.0006,622368456376.346,270140714501.78,1210077741843.74
