year,median
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.74561698348999994
2012,1.0943940343634999
2013,1.86730326957
2014,3.4604474509249998
2015,4.1613438599299997
2016,4.0838332263700003
2017,5.312632813255
2018,6.8307226564250003
2019,7.6306521940599996
2020,8.36203849284
2021,8.7581513514300013
2022,10.09148307055
2023,11.0945487339
2024,12.653732958799999
2025,13.594894184299999
2026,15.03759001075
2027,16.024181059100002
2028,17.117026565749999
2029,18.837796162650001
2030,20.09004872505
2031,20.683471380950003
2032,21.486310571099999
2033,22.221953093
2034,22.98405578745
2035,23.846458124999998
2036,24.185470031249999
2037,25.920126686849997
2038,27.439330367499998
2039,28.0761650862
2040,28.000058286449999
2041,28.794710816399999
2042,29.21898414915
2043,32.516130210999997
2044,33.783336167500003
2045,34.577367984350005
2046,34.752773499650004
2047,34.926915911899997
2048,36.241970701450001
2049,37.178829997850002
2050,38.252590369549999
2051,39.417245627050001
2052,39.955219690649997
2053,41.378317579200001
2054,41.969657252250002
2055,43.010443009399999
2056,43.150369487800006
2057,43.662834209150006
2058,43.784106255799998
2059,44.481168847500001
2060,45.67098550315
2061,46.791429109099994
2062,46.854545192250001
2063,47.554383205400001
2064,48.448136820800002
2065,49.47602632145
2066,51.054798877400003
2067,52.073621164100004
2068,52.377835938049998
2069,53.044054826500002
2070,53.251672840349997
2071,53.7935770494
2072,54.659932902400001
2073,55.678373947850005
2074,55.749825867150001
2075,56.092483665000003
2076,57.017271307900003
2077,57.678537416499999
2078,58.027753443599998
2079,58.659141019700002
2080,59.397442273850004
2081,59.729658930650004
2082,59.872455567000003
2083,60.369741378550003
2084,60.814705752899997
2085,61.172313865749999
2086,61.69434346285
2087,62.494792888399999
2088,63.193708455500001
2089,63.758324795150003
2090,64.471542758349997
2091,64.802508811850004
2092,65.344881282000003
2093,65.9021400516
2094,66.36695154425
2095,67.114490617200005
2096,67.912348896650002
2097,68.14822620275001
2098,68.338432941999997
2099,68.735589631399989
