year,median
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.1168936408625
2012,0.19122869858550001
2013,0.36537610194949999
2014,0.28194820439150003
2015,0.34466675708350003
2016,0.51242523378400007
2017,1.0225151627005
2018,1.391560369085
2019,1.7162438101549999
2020,1.99307134037
2021,2.2634874062949999
2022,2.6458033041400002
2023,2.9839428825200001
2024,3.0919470986149999
2025,3.2592732152349999
2026,3.3783634743200004
2027,3.6805115367850001
2028,4.0852441193099995
2029,4.2896677455200001
2030,4.7383177664549994
2031,5.2488064347350001
2032,5.5772734215100002
2033,5.81788535986
2034,6.2787748883400001
2035,6.4206140304449999
2036,6.9766934316300002
2037,7.1956655772999998
2038,7.3711041906050001
2039,7.9454451781900008
2040,8.9178105297350001
2041,9.1794350541449994
2042,9.7443874316999999
2043,9.9104097203550001
2044,10.416606232100001
2045,10.974598429450001
2046,11.071238481950001
2047,11.367226432350002
2048,11.850643997900001
2049,12.62877147535
2050,12.970908022500002
2051,13.414792432300001
2052,13.984779336100001
2053,14.444979555149999
2054,14.93544587205
2055,15.353871431
2056,15.818967000400001
2057,16.211197549049999
2058,16.905135320500001
2059,17.002019786550001
2060,17.705934252399999
2061,18.127669976050001
2062,18.411973879800001
2063,19.187799649799999
2064,20.022837456600001
2065,20.6243255471
2066,21.113332762150002
2067,22.021439560000001
2068,22.454542976699997
2069,23.147499701499999
2070,24.017344960399999
2071,24.69476406155
2072,25.093588655249999
2073,26.066870082800001
2074,26.374017649700001
2075,27.1550636228
2076,27.701086483800001
2077,28.487834966400001
2078,29.381415616150001
2079,29.814557265600001
2080,30.631463086449997
2081,31.1292189256
2082,31.394304539449998
2083,31.965816503949998
2084,32.2611524784
2085,32.5562208367
2086,32.8111103703
2087,33.283197104050004
2088,33.762214184849995
2089,34.12493871665
2090,34.852158831250001
2091,35.542860571549994
2092,36.170447255249996
2093,37.048930212399995
2094,38.068405387699997
2095,38.611042546349999
2096,39.235287527300002
2097,39.891812971250005
2098,40.5068153649
2099,41.265132782400002
