year,median
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.32644695641400001
2012,0.93464693879250005
2013,1.276907973615
2014,1.44148496038
2015,1.68837209965
2016,2.37500145505
2017,3.002016636355
2018,3.6678136397500003
2019,4.4161796770099997
2020,5.1097716634250006
2021,5.4292538355049995
2022,5.9938353519850001
2023,6.5402796454900001
2024,7.4400969363750002
2025,7.6077059536050005
2026,7.7200385083500001
2027,8.3442268196699985
2028,8.7994005440650014
2029,9.2291237479350006
2030,10.26027939127
2031,10.6957849493
2032,11.257706279200001
2033,11.49408151085
2034,11.950324811450001
2035,12.4998939024
2036,13.1937369135
2037,14.26187615375
2038,14.56046201465
2039,16.061642443650001
2040,16.506049298200001
2041,16.916535434099998
2042,17.545354054400001
2043,17.9977702429
2044,19.021534775799999
2045,19.697632392300001
2046,20.24134096825
2047,20.671145391650001
2048,21.473485787900003
2049,21.656306942299999
2050,22.06834133445
2051,22.605124844199999
2052,23.628039626650001
2053,24.774824504550001
2054,25.2541190982
2055,26.243183328500002
2056,26.55997209785
2057,27.969851479950002
2058,28.773960636200002
2059,29.593807242750003
2060,30.023557100250002
2061,30.69184070715
2062,31.643787947250001
2063,32.392289421499996
2064,33.168286282250001
2065,34.642617168450002
2066,35.13741525815
2067,36.66256134815
2068,37.431366391849998
2069,38.236308462149999
2070,39.335569761900004
2071,40.111928954100001
2072,40.798554774199999
2073,42.031040865100003
2074,43.080278538149997
2075,43.857346135599997
2076,44.91431354945
2077,46.039166281600004
2078,46.752962105400002
2079,47.361581917899997
2080,48.303668856949997
2081,49.471982605899996
2082,50.026639795799994
2083,50.801965963249998
2084,51.169575907549998
2085,51.987420533399998
2086,52.512520957749999
2087,53.296827029349998
2088,53.948718780899995
2089,54.419846764100001
2090,55.094887223550003
2091,56.188629324749996
2092,57.488754546799996
2093,58.713065679050004
2094,59.687315492099998
2095,60.997250784400002
2096,62.12204230855
2097,63.236795389600005
2098,63.560132634399999
2099,64.464469854100003
