year,median
1981,-1.863065787955e-05
1982,-3.8019935700059999e-05
1983,-6.9416751592700011e-05
1984,-3.4391407215699999e-05
1985,-4.2500645853800009e-05
1986,-3.1647503017600003e-05
1987,-4.6518562652599998e-05
1988,-1.6187480585350005e-05
1989,-6.4425935764199994e-05
1990,-1.0155911994299992e-05
1991,-1.65230903255e-05
1992,-8.2836141857410995e-05
1993,-5.854461102765e-05
1994,-3.0532100075499914e-06
1995,6.789084879599999e-06
1996,-2.3671324313700001e-05
1997,4.8857888967000018e-06
1998,-1.5498130503499988e-06
1999,-6.9185985666950001e-06
2000,-9.0770236294999457e-07
2001,-5.7156445266499918e-07
2002,-2.9045623230475003e-05
2003,-2.334186105745e-05
2004,1.0734683041549998e-05
2005,-3.2721021578549996e-05
2006,-2.9615228721200007e-06
2007,4.4088916948449967e-06
2008,3.7027562788389997e-05
2009,1.2813943814350005e-05
2010,3.2374590542555e-05
2011,4.8320242640750006e-05
2012,4.060066385315e-05
2013,2.6589152512999873e-07
2014,3.837192757089e-05
2015,1.1056921595649994e-05
2016,5.9583799841379999e-05
2017,5.3521807703049996e-05
2018,7.2834394735680002e-05
2019,7.2845496965049988e-05
2020,3.7695939504175002e-05
2021,7.2161504835615005e-05
2022,5.48599548377e-05
2023,0.00010847581495495001
2024,9.6062980170295002e-05
2025,3.364392330935e-05
2026,7.2654848481300003e-05
2027,8.9435216180399997e-05
2028,0.00013788428812174999
2029,0.00011294455878438501
2030,0.00012328676970034999
2031,0.0001275544058589
2032,0.00014622742452188999
2033,8.7230491539099994e-05
2034,0.00014569005079100001
2035,0.00014799457844645499
2036,0.0002039574344487
2037,0.00019677477524410002
2038,0.00016056064424375
2039,0.00019918431244584999
2040,0.00018546976056265001
2041,0.00021630277768205
2042,0.00025643218174470003
2043,0.00025647563650200002
2044,0.00023966842285199998
2045,0.00025653370516205004
2046,0.00030171731372732999
2047,0.00033212225958280004
2048,0.00034630343399344996
2049,0.00032625479999060002
2050,0.00032230581466110002
2051,0.0003401332197737
2052,0.00035140285627050004
2053,0.00035446783684665005
2054,0.0004300851977795
2055,0.00037234502552775
2056,0.00039093748499290001
2057,0.00037533707539949996
2058,0.00049211614220789999
2059,0.00042604710094730003
2060,0.00042453901440735002
2061,0.00047205042000199998
2062,0.00045025299727125001
2063,0.00051722187580449999
2064,0.00053610790312015003
2065,0.00056313948618035004
2066,0.00056016898059999996
2067,0.00066042172516045004
2068,0.00068159332567699999
2069,0.00070171319622605003
2070,0.00064234793257924997
2071,0.00067206292518600004
2072,0.00069345891018849997
2073,0.00079503402379090004
2074,0.00073878321872799992
2075,0.00075476477389290007
2076,0.00076200470146950004
2077,0.00080347503951264999
2078,0.0007840826772345
2079,0.00074939652758680003
2080,0.00079855301354110001
2081,0.00087763387099500003
2082,0.00079661062163390007
2083,0.00084398997729399992
2084,0.00085093228529250001
2085,0.00090890159334449999
2086,0.00083347731824770001
2087,0.00088838833862879996
2088,0.00089145620756314993
2089,0.0009153196208092
2090,0.00091577866886594994
2091,0.00096779334145919999
2092,0.001026909422192
2093,0.0009990317793718
2094,0.0010237037467314999
2095,0.0010520642742938499
2096,0.0010782926879870001
2097,0.0010690573090485001
2098,0.0010222390747502501
2099,0.0010618294887752501
