year,median
1981,-0.00010169634453949998
1982,-4.1043783815749996e-05
1983,-1.1344448199259999e-05
1984,-1.8007191471319999e-05
1985,-2.5603972112214997e-05
1986,-2.3635252017999995e-06
1987,-1.6227538288385002e-05
1988,-1.2730612502185e-05
1989,-7.8539548744500016e-06
1990,-1.4802134028800001e-05
1991,-1.262635006226e-05
1992,-4.1565100497370001e-05
1993,-1.4306054058764999e-05
1994,-1.569361658895e-05
1995,-8.2338234252485004e-06
1996,-1.4325889674230001e-05
1997,-2.6566451464600001e-06
1998,9.361598015100002e-06
1999,1.8112427100975001e-05
2000,-8.8089536599050001e-06
2001,-5.1280924754999942e-07
2002,-1.2566404169600001e-05
2003,-2.0759168847349997e-05
2004,-3.7315267280255001e-06
2005,-7.9049863640900004e-06
2006,5.2884732834035003e-06
2007,7.8467058548099999e-06
2008,9.7658277385399998e-06
2009,9.86904001776e-06
2010,8.6953946185400025e-06
2011,-6.8482664401549998e-06
2012,-2.6991001124999812e-07
2013,1.14734025071385e-05
2014,-1.1062828463421001e-05
2015,-2.240468327650002e-06
2016,-9.4244395580499958e-06
2017,8.0446402970499995e-06
2018,1.1744889830499969e-06
2019,-8.9869863728000021e-06
2020,-3.7091484920499969e-06
2021,-1.5499397753499999e-05
2022,1.7649669352500001e-05
2023,3.9434388447000059e-06
2024,-1.4788672771500004e-05
2025,-2.2315790013399997e-05
2026,-3.9863524790000065e-06
2027,-1.31905145850001e-06
2028,-1.235541181e-05
2029,-1.297740857395001e-05
2030,-6.3920692190000072e-06
2031,-3.2630092266500014e-05
2032,-9.846224562000004e-06
2033,-1.1409430697000022e-05
2034,-1.1751500449600004e-05
2035,-2.5709148944000004e-05
2036,-1.8622678501000012e-05
2037,-2.6392938561999998e-05
2038,-1.8161101464500001e-05
2039,-3.9658610747499983e-05
2040,-5.8186484029999975e-06
2041,-2.0622308995999963e-05
2042,-2.7450676097499996e-05
2043,-1.4034548714e-05
2044,-3.6948843024999959e-06
2045,-1.8806318616999994e-05
2046,-1.8491303837499983e-05
2047,-2.0129353707499999e-05
2048,-2.1969256255000122e-06
2049,-1.0080184748500025e-05
2050,-2.1148769422000026e-05
2051,-3.8884968264999987e-05
2052,-2.7043101174999997e-05
2053,-1.3908435280999968e-05
2054,-3.6264706276500016e-05
2055,-2.687813651400001e-05
2056,-3.4269844334500015e-05
2057,-3.2942195783000025e-05
2058,-3.8062939481000024e-05
2059,-4.6991331402500004e-05
2060,-4.0940133579499984e-05
2061,-4.3757505226499994e-05
2062,-5.4447895039000003e-05
2063,-4.8275296737999997e-05
2064,-4.4429975018999991e-05
2065,-6.7778405439500007e-05
2066,-5.6052343389499993e-05
2067,-4.5290693205000002e-05
2068,-6.7556419652000001e-05
2069,-4.4431650171999974e-05
2070,-6.340143067150002e-05
2071,-4.9778597419999969e-05
2072,-4.5305070341500014e-05
2073,-5.8796152511000015e-05
2074,-5.9623835495000002e-05
2075,-6.512372554750003e-05
2076,-6.0486631686500027e-05
2077,-4.7601689492500001e-05
2078,-6.500911943499999e-05
2079,-7.6042448076999971e-05
2080,-6.9345651211000022e-05
2081,-8.0049399475e-05
2082,-7.594723199699999e-05
2083,-7.2181315361500008e-05
2084,-7.9602409143000012e-05
2085,-8.1738537030499994e-05
2086,-9.0227437862499963e-05
2087,-7.3770503079499981e-05
2088,-7.5607737487500034e-05
2089,-8.9537343740000026e-05
2090,-9.8638188389000038e-05
2091,-8.8712019136500002e-05
2092,-6.4242100010000009e-05
2093,-9.319226920700002e-05
2094,-0.00010774298960000001
2095,-7.9246319660500008e-05
2096,-7.8628554423000016e-05
2097,-0.00010629928370849999
2098,-9.4102384013500009e-05
2099,-8.600028671049999e-05
