year,median
1982,-3.7805185478699999e-07
1983,-6.1928071645200005e-07
1984,-8.4219203010749997e-07
1985,-1.7873751696050001e-06
1986,-1.67675463702e-06
1987,-1.3129566216700001e-06
1988,-1.100905329487e-06
1989,-8.6935240290949995e-07
1990,-9.9539060641750005e-07
1991,-1.0279147627799999e-06
1992,-1.075488985501e-06
1993,-1.3693959008000001e-06
1994,-1.51108139652e-06
1995,-1.5023437716250001e-06
1996,-1.5911013529e-06
1997,-1.1714287050405e-06
1998,-1.1235087488204999e-06
1999,-1.0630988308530001e-06
2000,-1.1307875454899999e-07
2001,-1.0673877559e-07
2002,-1.0673877559e-07
2003,4.0414257989749997e-07
2004,5.02946030124e-07
2005,4.8275091398950006e-07
2006,-1.4596129691000001e-07
2007,-3.2963449770249999e-07
2008,-1.410162765275e-07
2009,3.6897166759099999e-07
2010,1.150764218975e-06
2011,0.50796181786399996
2012,1.0338957531049999
2013,1.7965079751899999
2014,2.643143437315
2015,3.2860012334049999
2016,3.7785992497400001
2017,4.4206430333200002
2018,5.3984438702949999
2019,6.1069531862649997
2020,7.0007062681400001
2021,7.46759046699
2022,8.2794526466949989
2023,9.1966164311049994
2024,10.113724239250001
2025,11.21799882465
2026,11.880794259649999
2027,12.51247267295
2028,13.3912223738
2029,14.611841084649999
2030,15.674540976100001
2031,16.510759933800003
2032,17.415456471200002
2033,18.5063939084
2034,19.367941929300002
2035,20.7486506001
2036,21.350536083599998
2037,22.143743858800001
2038,23.22673999345
2039,23.799773490450001
2040,25.25302739935
2041,26.083302932700001
2042,26.94642108695
2043,27.899141661849999
2044,29.492064861149998
2045,30.435814960350001
2046,31.340840543500001
2047,32.620774788049999
2048,34.186896962950001
2049,35.2145517668
2050,36.37648223115
2051,37.155847683799998
2052,38.731431897999997
2053,40.002246578099999
2054,41.645739465049999
2055,43.719773817750003
2056,44.521858174800002
2057,45.434076121849998
2058,46.242621549350005
2059,47.769053241950004
2060,48.666030197400005
2061,49.95562833975
2062,51.123576434100002
2063,52.034988132150005
2064,52.934416726249999
2065,54.15799707835
2066,55.191242220299998
2067,56.41852172275
2068,57.619345382700004
2069,58.621023972650001
2070,59.876422347800002
2071,60.69534733335
2072,61.5640279554
2073,63.006506441900001
2074,63.952459665749998
2075,65.3392184267
2076,66.743513478500006
2077,68.394969450000005
2078,68.889779141649996
2079,69.804089336200008
2080,71.812377880550002
2081,72.495366723849997
2082,73.738914452399996
2083,75.015663550650004
2084,75.798608334999997
2085,77.267231198600001
2086,78.85569212774999
2087,79.530055108799999
2088,80.195420543500006
2089,81.630587008749998
2090,83.418989170850011
2091,84.835984403300003
2092,85.715405314349994
2093,87.207213031199998
2094,88.081311423300008
2095,90.155478399250001
2096,91.0300724497
2097,91.973945908350004
2098,92.959734350399998
2099,93.657555120950008
