"method","binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
"fullba",-Inf,-17,-0.765412177827422,0.0549384448845519,-0.0202165633740076,0.105302818129995,1.68886977374087,0.0357062865295383,0.117922371643924,0.110335101157902
"fullba",-17,-12,0.873606959686764,0.0304376352476102,-0.153960191967194,0.0446818505005554,1.65243905085502,0.0171007453439601,0.112550966583012,0.111467144099369
"fullba",-12,-7,1.4022002971049,-0.0405649724434056,-0.597104305756499,0.44051255966605,3.13446855276982,0.0178406330249709,0.215994877120355,0.205621756381869
"fullba",-7,-2,3.45639538802877,-0.0271283939602136,-0.486628591725622,0.0596805218059928,2.1478599421512,0.0088641020028125,0.143221928571211,0.150189995102841
"fullba",-2,3,-0.141736127508976,-0.00489699895142744,-0.102828392473001,0.112772275250824,1.18382005770838,0.00480464312489268,0.0738759165575988,0.110758183515076
"fullba",3,8,2.3195327395949,0.00187352941261829,-0.144781048764709,-0.12015321123752,1.29788953755562,0.00307899249723662,0.0868955130558992,0.105084400028066
"fullba",8,13,1.73288914038385,-0.00113832975134131,-0.0620373367883809,-0.117934261464962,1.35784154383475,0.00252144590413422,0.0817832867847011,0.111511476311609
"fullba",13,18,0.340116861605356,0.00293978752947717,0.0467771205847962,-0.0937316170333184,1.25727782493457,0.00166111836127522,0.0729639292044088,0.087142184594644
"fullba",23,28,-0.292956828087233,-0.0010227658585493,0.0177054900309331,0.0340566164031815,1.41958792092453,0.000945120086037368,0.0880809816699457,0.10186256239346
"fullba",28,33,6.18668563440117,-0.0138502693850214,-0.498108351667238,-0.123229579218543,5.62573842985631,0.00859188605708638,0.43088304822053,0.360146776715529
"fullba",33,Inf,-108.878963849733,0.00163016318265478,7.16968762519553,6.11894928540196,87.3616818092871,0.769271481347539,6.02532341946768,5.84837411839114
