"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,19.8823992839939,-0.069125077508707,-1.21708562693518,-0.784103205321178,4.09167369539357,0.0382710142292434,0.406524747518982,0.280636633639117
-17,-12,16.2355694537762,-0.0418562411795876,-0.796148132221485,-0.957488116610793,2.92794121872355,0.0317597403625961,0.293800987387255,0.223978870452886
-12,-7,12.3653627283523,-0.120564279636739,-0.662121133409698,-0.396461058180505,2.04957662519617,0.016031458377757,0.23077556039139,0.192386662267392
-7,-2,8.43246360944465,-0.0417078395335124,-0.651864346101331,-0.0812360476919784,1.48141710756335,0.00612390304125483,0.17752443103093,0.0831161867357455
-2,3,4.98112883841933,-0.00264226548718311,-0.480371630822953,0.041942060896855,1.11720442074812,0.00255717338793966,0.131581528123761,0.0466551513612456
3,8,2.49556693984634,0.00243152739044268,-0.211216597255469,-0.0346561489518779,0.840973813341778,0.00275629416824142,0.0999718249372833,0.0431593799473385
8,13,0.940915029723509,-5.57381874898536e-05,-0.0730158474739549,-0.0150417537123786,0.540134874342634,0.00188100962779579,0.0684254774918226,0.0363748922569063
13,18,0.528302800191561,0.000315695594051971,-0.0719562821785374,0.0232404963596842,0.396635853786327,0.00133180048971719,0.0465635579221577,0.027488530765776
23,28,1.08159309129191,-0.00111109795070868,-0.102526554739715,0.0171651442454202,0.701461957880533,0.000711646609649792,0.064095655186427,0.0465616081946684
28,33,2.06052068836389,-0.031136412224038,0.213292410301068,-0.300008762740842,1.43135194533853,0.00505862543664656,0.114212790990092,0.125676680569226
33,Inf,3.15674313484614,-0.019937864375086,-0.552058604339672,0.470407434507475,2.59152073211631,0.0323635750926659,0.264338194008782,0.320935037257845
