"binlo","binhi","intercept_coef","bindays_coef","gdppc_coef","popop_coef","intercept_serr","bindays_serr","gdppc_serr","popop_serr"
-Inf,-17,6.55767911931115,-0.0537555339721963,-0.174474390242102,-0.464786637428256,8.68992955065332,0.0602892837477093,0.653349371140137,0.473230895102806
-17,-12,10.4004950473423,-0.0800292520929801,-0.480721370499804,-0.547829516045351,5.92531781929107,0.0331516593593248,0.440062286284515,0.349646533269946
-12,-7,11.1826509532192,-0.14504815360199,-0.970543401862933,0.279629120510855,3.14386349111787,0.0140703419863906,0.27350758748861,0.210157156895099
-7,-2,4.83300613023142,-0.051144231453081,-0.122504649636999,-0.334665172133871,1.79531243562647,0.00601304999739012,0.197009467785723,0.0752567231824659
-2,3,1.30397260634012,-0.00170044262236284,-0.0585107253005484,-0.0606794476713442,1.36480678284693,0.00276021523772856,0.156088234788613,0.0496246095134945
3,8,0.778789600880108,0.00315529416771904,-0.0139525989290968,-0.0880216703227173,0.971130490871403,0.00240473695513498,0.109154331806376,0.0391463506812544
8,13,1.47804136001279,3.37651042755435e-05,-0.130740752973757,-0.00811482887704731,0.632334714895558,0.00135030175378864,0.074308837422026,0.0276511145902306
13,18,1.11770420679262,0.00157177654096847,-0.141957169658308,0.0256520243187506,0.388358724408755,0.000843528903526314,0.0396336047812583,0.0185668827790703
23,28,-0.353138041766351,0.000543272155297009,0.0444640745103043,0.00323939007951029,0.535558102779992,0.000352253837105819,0.0433134799702505,0.030058571554288
28,33,2.7039446342201,-0.00525441626250856,0.143599879751737,-0.383908504164943,1.04472633854261,0.000874982525697367,0.0672078718453326,0.0694999841537906
33,Inf,-5.05036656605589,-0.0267612546469655,-0.320904713668038,1.20807200007954,7.17023954899768,0.0298450089477198,0.468576594379523,0.483415155202337
